שם,תיאור,סוג,שעות פתיחה,כתובת,אתר אינטרנט,טלפון,משלוחים,כשרות,נגישות לנכים,קטגוריה,עיר,אזור,חדש,latitude,longitude
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",המעיין 25,www.goldaglida.co.il,02-6449253,"ישיבה במסעדה,משלוחים",,N,"גלידריה, מתוקים וקינוחים",ירושלים,ירושלים,N,31.765778,35.161432
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שדרות יצחק רבין 20 עפולה,www.goldaglida.co.il,047749599,ישיבה במסעדה,כשר (בדרך למהדרין),N,גלידריה מתוקים וקינוחים,עפולה,צפון,N,32.614459,35.299775
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",התלם 2 עתלית,www.goldaglida.co.il,04-840-1847,ישיבה במסעדה,"כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,עתלית,צפון,N,32.697011,34.947646
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",התחייה 7,www.goldaglida.co.il,04-8385552,ישיבה במסעדה,כשר,N,גלידריה מתוקים וקינוחים,פרדס חנה-כרכור,צפון,N,32.467313,34.952429
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",גלעד 4,www.goldaglida.co.il,048233660,ישיבה במסעדה,כשר (בדרך למהדרין),N,גלידריה מתוקים וקינוחים,פרדס חנה-כרכור,צפון,N,32.472606,34.974850
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שדרות יצחק רבין 38 צורן,www.goldaglida.co.il,09-7884665,ישיבה במסעדה,כשר,N,גלידריה מתוקים וקינוחים,צורן,שרון,N,32.296813,34.936890
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","מתחם קיסריה הקטנה, שדות ים",www.goldaglida.co.il,04-6550338,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,קיסריה,צפון,N,32.471555,34.974715
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",דרך עכו 192,www.goldaglida.co.il,048885555,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,קריית ביאליק,צפון,N,32.843924,35.091199
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",דרך פארק הדרום,www.goldaglida.co.il,08-6427336,"ישיבה במסעדה,משלוחים",כשר (בדרך למהדרין),N,"גלידריה, מתוקים וקינוחים",קריית גת,דרום,N,31.603750,34.768103
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שדרות ירושלים 1,www.goldaglida.co.il,04-6412662,ישיבה במסעדה,כשר,N,גלידריה מתוקים וקינוחים,קריית מוצקין,צפון,N,32.858812,35.092581
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",אחי אילת 16,www.goldaglida.co.il,04-8132322,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,קריית חיים תאי דואר,צפון,N,32.821816,35.068886
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",תל חי 120,,,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,קריית שמונה,צפון,N,33.203383,35.568821
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שבזי 10,www.goldaglida.co.il,03-9024405,ישיבה במסעדה,"כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,ראש העין,מרכז,N,32.098529,34.941900
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",התפוח 1,www.goldaglida.co.il,04-6190555,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,ראש פינה,צפון,N,32.969930,35.550339
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",הטיילת 14,www.goldaglida.co.il,035080550,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,ראשון לציון,מרכז,N,31.998802,34.732534
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",סחרוב 26,www.goldaglida.co.il,037745102,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,ראשון לציון,מרכז,N,31.989521,34.774049
ביגה ,בית קפה  מסעדה חלבית - מכובד בישיבה במסעדה בלבד,"בית קפה,חלבי,כריכים-סלטים","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: חצי שעה מצאת השבת - 00:00",המלאכה 23,biga-bakery.co.il,04-6493344,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,עפולה,צפון,N,32.603187,35.294482
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",גבעתי 1,www.goldaglida.co.il,03-6099949,ישיבה במסעדה,כשר (בדרך למהדרין),N,גלידריה מתוקים וקינוחים,ראשון לציון,מרכז,N,31.966982,34.817170
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","מוטי קינד 10, סנטרו",www.goldaglida.co.il,089447717,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,רחובות,מרכז,N,31.893706,34.788737
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",זבוטינסקי 107,www.goldaglida.co.il,,ישיבה במסעדה,כשר,N,גלידריה מתוקים וקינוחים,רמת גן,מרכז,N,32.087484,34.785447
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",סוקלוב 36,www.goldaglida.co.il,03-6500400,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,רמת השרון,מרכז,N,32.141872,34.837279
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",עמק איילון 30,www.goldaglida.co.il,03-5597967,ישיבה במסעדה,כשר,N,גלידריה מתוקים וקינוחים,שוהם,מרכז,N,31.998954,34.946850
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",חוצות שפיים,www.goldaglida.co.il,099697969,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,שפיים,שרון,N,32.220687,34.828247
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",בוגרשוב 6,www.goldaglida.co.il,03-6599989,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.077595,34.767946
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",בן צבי 76,www.goldaglida.co.il,03 -52118150,ישיבה במסעדה,"כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.043214,34.769665
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",דיזנגוף 245,www.goldaglida.co.il,03-5164014,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.092130,34.776058
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",חוף גורדון תל אביב,www.goldaglida.co.il,03-5780170,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.084819,34.768868
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",משה דיין 2,www.goldaglida.co.il,03-6514016,ישיבה במסעדה,כשר,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.047139,34.799152
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","מאיר יערי 19 ,מתחם ג'י כוכב הצפון",www.goldaglida.co.il,036885836,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.099909,34.787711
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",דיזינגוף 107,www.goldaglida.co.il,03-6350409,ישיבה במסעדה,,N,"גלידריה, מתוקים וקינוחים",תל אביב - יפו,מרכז,N,32.079869,34.773602
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ז'בוטינסקי 110,www.goldaglida.co.il,03-6968581,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.087064,34.786709
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",מנחם בגין 132,www.goldaglida.co.il,,ישיבה במסעדה,"כשר למהדרין -בד""ץ",N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.074326,34.792184
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",מנחם בגין 144 ג',www.goldaglida.co.il,035297797,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.076848,34.792989
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שוק הנמל 12,www.goldaglida.co.il,03-6576508,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.098688,34.774055
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",רודנסקי 5,www.goldaglida.co.il,03-6992770,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.120663,34.792778
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",רוטשילד 22,www.goldaglida.co.il,03-6704303,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.062771,34.771454
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ראול ולנברג 18,www.goldaglida.co.il,03-6766648,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.109553,34.837248
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",בית חולים תל השומר,www.goldaglida.co.il,03-5597330,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.045918,34.841772
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",נורדאו 13,www.goldaglida.co.il,08-8569788,"ישיבה במסעדה,משלוחים",,N,"גלידריה, מתוקים וקינוחים",אשדוד,דרום,N,31.810489,34.640462
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שדרות עמק חפר 53,www.goldaglida.co.il,08-860-0808,"ישיבה במסעדה,משלוחים","כשר בד""צ בית יוסף",N,"גלידריה, מתוקים וקינוחים",אשקלון,דרום,N,31.648445,34.567457
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שדרות דרום אפריקה 65,www.goldaglida.co.il,08-6869144,"ישיבה במסעדה,משלוחים",,N,"גלידריה, מתוקים וקינוחים",אשקלון,דרום,N,31.679971,34.570011
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",הנמל 2,www.goldaglida.co.il,08-8600808,"ישיבה במסעדה,משלוחים",,N,"גלידריה, מתוקים וקינוחים",אשקלון,דרום,N,31.681222,34.557318
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",בורכוב 54,www.goldaglida.co.il,039441580,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,גבעתיים,מרכז,N,32.078770,34.809839
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",המגינים 56,www.goldaglida.co.il,08-6913335,"ישיבה במסעדה,משלוחים",,N,"גלידריה, מתוקים וקינוחים",גן יבנה,דרום,N,31.795235,34.704488
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ההדרים 7,www.goldaglida.co.il,077-724035,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,גני תקווה,מרכז,N,32.065045,34.876098
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","תחנת דלק דור אלון, צומת דבירה",www.goldaglida.co.il,089910485,"ישיבה במסעדה,משלוחים",,N,"גלידריה, מתוקים וקינוחים",דבירה,דרום,N,31.421943,34.786102
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",דרך רמתיים 24,www.goldaglida.co.il,099775251,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,הוד השרון,שרון,N,32.160024,34.894026
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","תרנ""א 20",www.goldaglida.co.il,04-6363740,ישיבה במסעדה,"כשר מהדרין (בדרך לבד""צ)",N,גלידריה מתוקים וקינוחים,חדרה,צפון,N,32.434768,34.924994
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",קניון ערים,www.goldaglida.co.il,,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,כפר סבא,שרון,N,32.176894,34.904066
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ברוך בוארון 7,,04-8279988,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,חדרה,צפון,N,32.440238,34.881966
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",מתחם סנטר פארק,www.goldaglida.co.il,04-8634733,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,חדרה,צפון,N,32.427187,34.933158
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ששת הימים 1,www.goldaglida.co.il,046126444,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,טירת כרמל,צפון,N,32.757629,34.972789
ג'ירף ,מסעדה אסייתית ,"סושי-אסייאתי,דגים,צמחוני-טבעוני","א-ה: א'-ב'- 12:00-22:00 ג'-ה'- 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",חיים בר לב 2,www.giraffe.co.il,3067*,ישיבה במסעדה,,Y,מסעדה,נס ציונה,מרכז,N,31.923527,34.782330
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",טום לנטוס 1,www.goldaglida.co.il,09-7452646,ישיבה במסעדה,"כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,נתניה,שרון,N,32.311769,34.870241
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","גיבורי ישראל 17 , מתחם יכין סנטר",www.goldaglida.co.il,09-9777555,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,נתניה,שרון,N,32.281403,34.861403
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שושנה דמארי 10,www.goldaglida.co.il,099777555,ישיבה במסעדה,"כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,נתניה,שרון,N,32.277882,34.842716
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",השחם 30,www.goldaglida.co.il,035628906,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,פתח תקווה,מרכז,N,32.087172,34.858651
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",רפאל איתן 5,www.goldaglida.co.il,03-9488000,ישיבה במסעדה,,N,"גלידריה, מתוקים וקינוחים",פתח תקווה,מרכז,N,32.104023,34.881703
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ז'בוטינסקי 72-74,www.goldaglida.co.il,037786447,ישיבה במסעדה,כשר,N,גלידריה מתוקים וקינוחים,פתח תקווה,מרכז,N,32.093206,34.865218
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",המייסדים 3,www.goldaglida.co.il,037786447,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,קריית אונו,מרכז,N,32.056154,34.857989
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",משה אדרת 4,www.goldaglida.co.il,089711909,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,רמלה,מרכז,N,31.932231,34.888938
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","ויצמן 273 , מתחם ווסט פארק",www.goldaglida.co.il,097882233,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,רעננה,שרון,N,32.191212,34.845020
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",אחוזה 71,www.goldaglida.co.il,09-9591000,ישיבה במסעדה,"כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,רעננה,שרון,N,32.178845,34.880786
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","פרץ סנטר שדרות, הפלדה 8",www.goldaglida.co.il,08-9152212,"ישיבה במסעדה,משלוחים","כשר בד""צ בית יוסף",N,"גלידריה, מתוקים וקינוחים",שדרות,דרום,N,31.521198,34.594512
JAPAN JAPAN,מסעדה אסייתית,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:00-23:00
שישי: 11:00-15:30
שבת: ",שדרות בן גריון 2,,3304*,"ישיבה במסעדה,איסוף עצמי,משלוחים",כשר רבנות מצפה רמון,N,מסעדה,מצפה רמון,דרום,N,30.612549,34.802726
רוזמרין,"מסעדה חלבית, סלט בר ","בית קפה,חלבי,כריכים-סלטים,צמחוני-טבעוני","א-ה: 09:00-17:00
שישי: 
שבת: ",נחלת יצחק 18,rozmarintlv.co.il,03-7260920,ישיבה במסעדה,כשר,N,מסעדה,תל אביב - יפו,מרכז,N,32.073923,34.797776
מריומה ,אוכל ביתי מזרחי ,"ים תיכוני,מזרחי","א-ה: 09:00-16:00
שישי: 
שבת: ",נחלת יצחק 18,mariumatlv.co.il,03-6480444,ישיבה במסעדה,כשר,Y,מסעדה,תל אביב - יפו,מרכז,N,32.074009,34.797805
מריומה ,אוכל ביתי מזרחי ,"ים תיכוני,מזרחי","א-ה: 09:00-18:00
שישי: 
שבת: ",קניון עזריאלי מודיעין - לב העיר 2,mariumatlv.co.il,08-6466693,ישיבה במסעדה,כשר,Y,מסעדה,מודיעין-מכבים-רעות,ירושלים,N,31.899640,35.008266
soft cream,גלידריה ,מתוקים-קינוחים,"א-ה: 09:0-23:00
שישי: 09:00-חצי שעה לפני כניסת שבת
שבת: 09:00-23:00",קלמן מגן 3,,03-7233088,ישיבה במסעדה,,N,"גלידריה, מתוקים וקינוחים",תל אביב - יפו,מרכז,N,32.071319,34.787123
מקס ברנר ,בית קפה מתוקים וקינוחים,"בית קפה,מתוקים-קינוחים","א-ה: 
שישי: 
שבת: ",המנופים 8,www.max-brenner.co.il,,ישיבה במסעדה,,N,מסעדה,הרצליה,שרון,N,32.159515,34.807144
גרעיני עפולה ,"גרעינים, תבלינים, דגנים ועוד ",צמחוני-טבעוני,"א-ה: 08:30-21:30
שישי: 07:30-16:00
שבת: ",קניון G,www.garineiafula.co.il,,ישיבה במסעדה,,N,תבלינים ופיצוחים,יקנעם עילית,צפון,N,32.660197,35.104841
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 09:00-21:00
שישי: 09:00-14:30
שבת: ","טשרניחובסקי 4, קניון 8 סנטר",gregcafe.co.il/,04-6934298,ישיבה במסעדה,כשר למהדרין,N,מסעדה,קריית שמונה,צפון,N,33.210594,35.568189
קאסה דל פפה,מסעדת איטלקית חלבית ,"איטלקי,חלבי,כריכים-סלטים","א-ה: 09:00-00:00
שישי: 
שבת: מצאת השבת - 00:00",הקליטה 3,orders.netlunch.online/casa-del-pepe/,08-8655993,ישיבה במסעדה,"בד""צ בית יוסף",Y,מסעדה,אשדוד,דרום,N,31.787596,34.642625
Milieu ,בר יין בסגנון צרפתי - פריזאי,"בר-פאב,צרפתי","א-ה: 18:00-00:30 יום ה' 18:00-02:00
שישי: 18:00-02:00
שבת: ","דיזינגוף 141 ת""א",,054-7791662,ישיבה במסעדה,,N,בר-פאב,תל אביב - יפו,מרכז,N,32.082639,34.773661
Roasters,בר קפה ,"בית קפה,חלבי,כריכים-סלטים","א-ה: 08:00-20:00
שישי: 
שבת: ",ישראל זמורה 1,,02-5834840,ישיבה במסעדה,כשר בהשגחת צהר,N,בית קפה,ירושלים,ירושלים,N,31.782055,35.222693
the whisky embassy,חנות יינות ואלכוהול,בר-פאב,"א-ה: 10:00-21:00
שישי: 
שבת: ",אריק איינשטיין 3,,054-3105337,ישיבה במסעדה,,N,יקבים ומבשלות בירה,הרצליה,שרון,N,32.162828,34.814828
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",נעמי שמר 9,www.goldaglida.co.il,03-6046045,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,בת ים,מרכז,N,32.006814,34.740499
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה","איטלקי,בשרים","א-ה: 11:30-22:00
שישי: 11:30-22:00
שבת: 11:30-שעה לפני כניסת שבת",ז'בוטינסקי 72-74,blackbarburger.co.il,03-7780777,ישיבה במסעדה,כשר,N,מסעדה,פתח תקווה,מרכז,N,32.092532,34.865475
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",גולדה מאיר 1,www.goldaglida.co.il,08-8677717,"ישיבה במסעדה,משלוחים","כשר בד""צ",Y,"גלידריה, מתוקים וקינוחים",דימונה,דרום,N,31.074252,35.031827
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",בן גוריון 1,www.goldaglida.co.il,04-6039900,ישיבה במסעדה,"כשר בד""צ בית יוסף",Y,גלידריה מתוקים וקינוחים,מעלות-תרשיחא,צפון,N,33.012365,35.284244
קפה גרג,בית קפה מסעדה,"בית קפה,בשרים","א-ה: 24/7
שישי: 24/7
שבת: 24/7",אחי אילת  20,gregcafe.co.il/,04-8729999,ישיבה במסעדה,,Y,מסעדה,קריית חיים תאי דואר,צפון,N,32.821230,35.070410
משק אלוני ,"אתר סחר לשמן זית, טחינה דבש",צמחוני-טבעוני,"א-ה: 
שישי: 
שבת: ",,m-aloni.co.il,050-5535355,משלוחים,כשר,N,משק חקלאי,בקוע,מרכז,N,31.825990,34.922498
300 גרם ,מסעדת בשרים ,בשרים,"א-ה: 12:00-22:00
שישי: 
שבת: ",מושב בצת,https://300gr.co.il/,04-9808544,ישיבה במסעדה,כשר למהדרין,N,מסעדה,בצת,צפון,N,33.068284,35.137704
תותי קפה ,חנות קפה ומוצריו,"בית קפה,חלבי,צמחוני-טבעוני","א-ה: חנות אינטרנטית - משלוחים לכל הארץ
שישי: 
שבת: ",חנות אינטרנטית - משלוחים לכל הארץ,tuticafe.co.il,054-5578912,משלוחים,כשר,N,קפסולות ואביזרי קפה,הוד השרון,שרון,N,32.150546,34.887051
פרנצ'וק ,בית קפה מסעדה חלבית ,"איטלקי,בית קפה,חלבי,מתוקים-קינוחים","א-ה: 06:30-20:30
שישי: 06:00-15:00
שבת: ",שיאון 1,,077-2056789,ישיבה במסעדה,,N,בית קפה,קצרין,צפון,N,32.994318,35.690836
NIGHT COOKIE,עוגיות לילה,מתוקים-קינוחים,"א-ה: 17:00-00:00
שישי: 
שבת: ",ויצמן 25,,,ישיבה במסעדה,,N,"גלידריה, מתוקים וקינוחים,מאפיה וקונדיטוריה",נס ציונה,מרכז,N,31.927135,34.797938
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",מתחם My baby ירכא,www.goldaglida.co.il,04-9922933,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,ירכא,צפון,N,32.946817,35.172455
מהשוק באהבה ,סל מוצרי בוטיק משוק מחנה-יהודה,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 
שישי: 
שבת: ",שוק מחנה יהודה,www.loveshuk.com,054-4610368,משלוחים,כשר למהדרין,Y,מארזים במשלוח,ירושלים,ירושלים,N,31.785538,35.212222
דיינר שופ ,"מסעדה אמריקאית של פיצות, המבורגרים ועוף בגריל",בשרים,"א-ה: 11:30-00:00
שישי: 11:30-00:00
שבת: 11:30-00:00",אופנהיימר 10 פארק המדע,www.diner-shop.co.il,9338*,ישיבה במסעדה,,N,מסעדה,רחובות,מרכז,N,31.910704,34.807541
גו נודלס ,"מסעדה אסייתית, מוקפצים, נודלס","סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:00-18:00
שישי: 
שבת: ",הירקון 5,gonoodles.co.il,03-9473373,ישיבה במסעדה,כשר,Y,מסעדה,בני ברק,מרכז,N,32.095505,34.822931
גו נודלס ,"מסעדה אסייתית, מוקפצים, נודלס","סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:30-23:00
שישי: 
שבת: ",שדרות יהודית 20,gonoodles.co.il,03-9473373,ישיבה במסעדה,כשר,N,מסעדה,תל אביב - יפו,מרכז,N,32.069971,34.790440
גו נודלס ,"מסעדה אסייתית, מוקפצים, נודלס","סושי-אסייאתי,צמחוני-טבעוני","א-ה: 09:30-22:00
שישי: 09:30-15:30
שבת: שעה מצאת השבת - 23:00",קניון עזריאלי,gonoodles.co.il,03-9173007,ישיבה במסעדה,כשר,N,מסעדה,תל אביב - יפו,מרכז,N,32.074619,34.791195
ריסטרט  ,"מעדניה, אוכל, חברים ","איטלקי,בית קפה,דגים,חלבי,טאפסים,ים תיכוני","א-ה: א'-ד' 08:00-16:00, ה' 08:00-22:00
שישי: 
שבת: ","שדרות האקליפטוס, מושב בוסתן הגליל",,054-8038452,ישיבה במסעדה,כשר,Y,מסעדת שף,בוסתן הגליל,צפון,N,32.947690,35.082612
