שם,תיאור,אזור,עיר,כתובת,טלפון,קטגוריה,סוג,שעות פתיחה,כשר,נגישות לנכים,אתר אינטרנט,משלוחים,חדש,latitude,longitude
בורגראנץ',רשת המבורגר ישראלית,צפון,חיפה,"מ. ביג קריות, ההסתדרות 254",1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 22:00",כשר,Y,,N,N,32.809709,35.068615
בורגראנץ',רשת המבורגר ישראלית,דרום,באר שבע,"מ. ביג, דרך חברון 21",1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 22:00",כשר,Y,,N,N,31.243857,34.809777
בורגראנץ',רשת המבורגר ישראלית,מרכז,בני ברק,צומת קוקה קולה,1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-23:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 23:00",מהדרין,Y,,N,N,32.074427,34.843039
בורגראנץ',רשת המבורגר ישראלית,דרום,חצבה,"תחנת הדלק פז, עין חצבה, כביש הערבה",1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-20:45
שישי: 11:00-20:45
שבת: 12:00-21:00",,Y,,N,N,30.799085,35.244086
בורגראנץ',רשת המבורגר ישראלית,דרום,אשקלון,צומת כפר סילבר,1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 22:00",כשר,N,,N,N,31.674518,34.608998
בורגראנץ',רשת המבורגר ישראלית,מרכז,רמלה,צופית 40 קניון רמלוד,1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 23:00",כשר,Y,,N,N,31.933090,34.888775
בורגראנץ',רשת המבורגר ישראלית,דרום,באר שבע,"קניון הנגב, צומת אלי כהן",1-700-700-600,מסעדה,בשרים,"א-ה: 9:00-21:30
שישי: 9:00-14:30
שבת: 8:30-21:30",מהדרין,Y,,N,N,31.244230,34.792259
בורגראנץ',רשת המבורגר ישראלית,ירושלים,ירושלים,"קניון הפסגה, משה דיין 106",1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-21:00
שישי: סגור
שבת: סגור",כשר,Y,,N,N,31.828004,35.240199
בורגראנץ',רשת המבורגר ישראלית,ירושלים,מעלה אדומים,"נקיון אדומים, קדם 5",1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-21:30
שישי: סגור
שבת: סגור",מהדרין,Y,,N,N,31.772089,35.299126
בורגראנץ',רשת המבורגר ישראלית,מרכז,חולון,סוקולוב 138,1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-23:00
שישי: 11:00-15:00
שבת: 12:00-23:00",,Y,,N,N,32.022223,34.785655
בורגראנץ',רשת המבורגר ישראלית,צפון,עפולה,"ביג מגה, השוק 13",1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-21:00
שישי: 11:00-15:00
שבת: סגור",מהדרין,Y,,N,N,32.606345,35.292959
בורגראנץ',רשת המבורגר ישראלית,צפון,חיפה,הטכניון,1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-20:00
שישי: סגור
שבת: סגור",כשר,Y,,N,N,32.776461,35.022919
בורגראנץ',רשת המבורגר ישראלית,מרכז,תל אביב - יפו,היכל מנורה,1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-23:00
שישי: 
שבת: שעה לאחר צאת השבת",כשר,Y,,N,N,32.061490,34.791551
בורגראנץ',רשת המבורגר ישראלית,מרכז,קריית אונו,"קניון ק. אונו, שלמה המלך 37",1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-23:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 23:00",מהדרין,Y,,N,N,32.055574,34.863378
בורגראנץ',רשת המבורגר ישראלית,מרכז,רמלה,קניון רמלה,1-700-700-600,מסעדה,בשרים,"א-ה: 11:00-22:00
שישי: סגור
שבת: סגור",מהדרין,Y,,N,N,31.925743,34.863947
בורגראנץ',רשת המבורגר ישראלית,צפון,חיפה,"קניון עזריאלי, פלימן 4",1-700-700-600,מסעדה,בשרים,"א-ה: 09:30-21:30
שישי: 08:30-15:00
שבת: שעה מצאת השבת - 22:00",כשר,Y,,N,N,32.789601,34.965066
קלאסיק ,מסעדת המבורגרים ופיצות ,מרכז,תל אביב - יפו,יהודה מכבי 53,0722204010,מסעדה,"איטלקי,בשרים","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,,N,N,32.093959,34.790645
רוזמרין ,מסעדת בר סלטים וכריכים ,מרכז,תל אביב - יפו,נחלת יצחק 18,03-7260920,מסעדה,"כריכים-סלטים,צמחוני-טבעוני","א-ה: 09:30-17:00
שישי: 
שבת: ",כן,Y,,N,N,32.074065,34.797863
אבו כנאפה - רמת גן ,סוגי ממתקים מזרחיים מיוחדים וייחודיים,מרכז,רמת גן,ביאליק 55,052-2028665,"גלידריה, מתוקים וקינוחים","מזרחי,מתוקים-קינוחים","א-ה: 
שישי: 
שבת: ",,Y,,N,N,32.084213,34.813248
אבו כנאפה - תל אביב,סוגי ממתקים מזרחיים מיוחדים וייחודיים,מרכז,תל אביב - יפו,קינג ג'ורג' 52,052-2028665,"גלידריה, מתוקים וקינוחים","מזרחי,מתוקים-קינוחים","א-ה: 
שישי: 
שבת: ",,N,,N,N,32.074729,34.775931
סלט ישראלי ,מסעדה טבעונית צמחונית ,מרכז,תל אביב - יפו,אבן גבירול 30,03-6526564,מסעדה,"כריכים-סלטים,צמחוני-טבעוני","א-ה: 09:30-16:00
שישי: 
שבת: ",כן,N,salat-israeli.co.il,N,N,32.075078,34.781959
סלט ישראלי,מסעדה טבעונית צמחונית,מרכז,תל אביב - יפו,אבן גבירול 61,03-6557355,מסעדה,"כריכים-סלטים,צמחוני-טבעוני","א-ה: 09:30-16:00
שישי: 
שבת: ",כן,Y,salat-israeli.co.il,N,N,32.078569,34.781135
רוטשילדה,בית קפה מסעדה ,צפון,נהרייה,המעפילים 1 (טיילת נהריה צמוד לחוף הים),04-9921985,מסעדה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 08:00-00:00
שישי: 08:00 עד 3 שעות לפני כניסת שבת
שבת: שעה  לאחר צאת השבת-00:00","כשר למהדרין -בד""ץ",Y,rothschild-nahariyya.co.il,Y,N,33.007457,35.089639
JAPAN JAPAN,מסעדה אסייתית ,צפון,חדרה,הלל יפה 11,3304*,מסעדה,סושי-אסייאתי,"א-ה: א'-ד' 11:00-23:00 ה' 11:00-00:00
שישי: 11:00-14:30
שבת: חצי שעה לאחר צאת השבת -00:00",כשר,Y,www.japan-japan.co.il/,N,N,32.435854,34.916516
ארבעה קצבים ,חנות אינטרנטית לבשר ,מרכז,חולון,הבנאי 21,03546328,מעדניה,בשרים,"א-ה: חנות אינטרנטית
שישי: 
שבת: ",,N,4katzavim.co.il,Y,N,32.012639,34.802616
ארבעה קצבים,חנות בשר ,מרכז,חולון,הבנאי 21,03546328,מעדניה,בשרים,"א-ה: 08:00-17:00
שישי: 08:00-14:00
שבת: ",כשר,Y,4katzavim.co.il,Y,N,32.012639,34.802616
אלוף הפיצוחים ,"פיצוחים, טבעיים, קלויים, פירות יבשים ועוד",דרום,באר שבע,השווקים 1 השוק העירוני,08-6654142,תבלינים ופיצוחים,"ים תיכוני,מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 08:00-15:00
שישי: 07:00-16:00
שבת: ",כשר,Y,www.aluforiginal.co.il,N,N,31.240477,34.795432
בית הפנקייק המקורי ,"ארוחות בוקר, סלטים פנקייקים וקינוחים",צפון,נהרייה,הגעתון 43,052-6262111,מסעדה,"בית קפה,מתוקים-קינוחים","א-ה: 09:00-23:00
שישי: 09:00-23:00
שבת: 09:00-23:00",,Y,logo_beitpancake.jpg,N,N,33.006724,35.091945
SINNERS,אתר לרכישת בשרי בוטיק פרימיום מיוחדים,מרכז,ראשון לציון,"סינמה סיטי, הרצל 28",058-4003055,מעדניה,בשרים,"א-ה: 16:00-20:00
שישי: 11:00-15:00
שבת: ",כשר,Y,www.sinnersmeat.com,Y,N,31.972846,34.800164
KURA,מסעדה אסייתית ,מרכז,בת ים,בן גוריון 136,03-5522041,מסעדה,סושי-אסייאתי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,kura.co.il,N,N,32.011820,34.738421
קפה קפה,בית קפה מסעדה,מרכז,ראשון לציון,הטיילת 19,03-3787777,בית קפה,"בית קפה,חלבי,כריכים-סלטים","א-ה: 08:30-00:00
שישי: 08:00-13:30
שבת: שעה לאחר צאת השבת - 00:00",כשר,Y,www.cafecafe.co.il/he/home/a/main,N,N,32.001871,34.733223
פאזל בורגר ,מסעדת המבורגרים,מרכז,קריית אונו,שלמה המלך 37,3652*,מסעדה,"בשרים,ים תיכוני","א-ה: 11:00-23:30
שישי: 
שבת: 18:00-23:00",כשר,Y,puzzle-burger.co.il/kiryat-ono/,N,N,32.055030,34.863250
פאזל בורגר ,מסעדת המבורגרים,מרכז,ראשון לציון,ילדי טהרן 7,03-6164787,מסעדה,"בשרים,ים תיכוני","א-ה: 11:30-22:30
שישי: 11:30- שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת-23:30",כשר,Y,puzzle-burger.co.il/rishon/,N,N,31.984992,34.767622
גרעיני עפולה ,"גרעינים, תבלינים, דגנים ועוד ",מרכז,תל אביב - יפו,יגאל אלון 94,03-9115353,תבלינים ופיצוחים,"ים תיכוני,מזרחי,מתוקים-קינוחים","א-ה: א'-ד' 08:00-21:00 ה' 08:00-22:00
שישי: 08:30-15:30
שבת: חצי שעה מצאת השבת - 22:00",כשר,Y,www.garineiafula.co.il,N,N,32.068536,34.794500
BIALETI,הכל לקפה ,מרכז,תל אביב - יפו,אבן גבירול 54,03-6127548,בית קפה,בית קפה,"א-ה: 08:00-20:00
שישי: 08:00-15:00
שבת: ",,Y,www.bialettishop.co.il,Y,N,32.078119,34.781419
טורטיה בר ,מסעדה מקסיקנית ,מרכז,רמת השרון,סוקולוב 71,03-9540095,מסעדה,מקסיקני,"א-ה: 10:30-00:00
שישי: 10:30-15:00
שבת: חצי שעה מצאת השבת - 00:00",כשר,Y,www.tortia-bar-rh.co.il,Y,N,32.146270,34.838505
קפה בנימינה ,בית קפה סדנאות והרצאות קפה לא כולל מכונות קפה,צפון,בנימינה,המייסדים 15,04-6380048,בית קפה,בית קפה,"א-ה: 07:30-13:00| א',ד',ה' 16:00-18:00
שישי: 07:00-13:30
שבת: ",,N,,N,N,32.522247,34.947988
דון ויטו ,מסעדה איטלקית ,מרכז,יהוד-מונוסון,צומת תל השומר שער דרום,3255*,מסעדה,"איטלקי,חלבי","א-ה: 17:00-23:00
שישי: 
שבת: מצאת השבת - לקוח אחרון",כשר,Y,don-vito.co.il,N,N,32.036168,34.847319
UNO,מסעדה איטלקית ,מרכז,תל אביב - יפו,ויצמן 2,03-6932005,מסעדה,"איטלקי,חלבי,מתוקים-קינוחים","א-ה: 12:00-23:00
שישי: 
שבת: שעה לאחר צאת השבת - 23:00",כשר,Y,www.unotlv.co.il,N,N,32.077465,34.788764
בירבזאר ירושלים ,בר פאב לא כולל happy hour,ירושלים,ירושלים,יפו 161,02-6712559,בר-פאב,בר-פאב,"א-ה: 18:00-00:00
שישי: 
שבת: שעה לאחר צאת השבת - לקוח אחרון",כשר,Y,beerbazaar.co.il,N,N,31.786769,35.208529
ג'סיקה,מטבח ישראלי ים תיכוני ,דרום,באר שבע,יצחק נפחא 25,054-9788827,מסעדה,"בשרים,ים תיכוני,מזרחי","א-ה: 12:00-00:30
שישי: 12:00-00:30
שבת: 12:00-00:30",,Y,jessica-restro-bar.co.il,N,N,31.246144,34.812032
פאט ויני,מסעדה איטלקית ,צפון,כרמיאל,מעלה כמון 2 מרכז ביג,2730*,מסעדה,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,www.fatvinny.com,Y,N,32.926332,35.321719
בורגראנץ',רשת המבורגר ישראלית,דרום,אשדוד,תחנה מרכזית,1-700-700-600,מסעדה,"בשרים,ים תיכוני,מזרחי","א-ה: 11:00-22:00
שישי: 11:00-14:00
שבת: ",כשר למהדרין,Y,,N,N,31.790732,34.640637
חממה מודיעין ,"פיצוחים, טבעיים, קלויים, פירות יבשים ועוד",ירושלים,מודיעין-מכבים-רעות,ערער 14,077-5060977,תבלינים ופיצוחים,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-20:00
שישי: 08:00-15:00
שבת: ","בד""צ בית יוסף",Y,,N,N,31.900731,35.008195
דוניס דגים ויין ,מסעדת דגים חלבי,מרכז,גבעת שמואל,הערבה 1 בניין עוז,03-5708888,מסעדה,"איטלקי,דגים,חלבי","א-ה: 12:00-23:00
שישי: 
שבת: מצאת השבת - 00:00",כשר,Y,donis.co.il,N,N,32.083566,34.855370
קפה פנטסיה ,בית קפה ,מרכז,ראשון לציון,המאה ועשרים 4,03-9466644,בית קפה,"בית קפה,חלבי,מתוקים-קינוחים","א-ה: 10:00-00:00
שישי: 09:30-01:00
שבת: 10:00-00:00",,Y,fantasia-rlz.co.il,N,N,31.979620,34.746130
פטריקס,בר מסעדה בשרים,מרכז,ראשון לציון,המאה ועשרים 4 (מתחם יס פלאנט),0772316244,מסעדה,"בר-פאב,בשרים,דגים","א-ה: 08:00-02:00
שישי: 08:00-02:00
שבת: 08:00-02:00",,Y,https://patricks-irishpub.com,N,N,31.979620,34.746130
מקס ברנר,חנות שוקולד,צפון,כרמיאל,"קניון חוצות, מעלה כמון 5",1700708877,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 9:30-21:30
שישי: 9:30-15:00
שבת:  חצי שעה לאחר צאת שבת-22:30",כן,Y,www.max-brenner.co.il,N,N,32.928320,35.324480
מקס ברנר,חנות שוקולד ,ירושלים,ירושלים,"עמק רפאים 40, שדרות ממילא",1700708877,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 20:00-10:00
שישי: 14:00-9:00
שבת: מצאת השבת ועד 23:00",כן,Y,www.max-brenner.co.il,N,N,31.776720,35.225790
גורילה,בר קפה ומסעדה ,מרכז,בת ים,בן גוריון 81,077-9969184,בית קפה,"בית קפה,חלבי,ים תיכוני,כריכים-סלטים","א-ה: 24/7
שישי: עד השעה 17:00
שבת: 17:00-לקוח אחרון",,N,gorillacafe.co.il,N,N,32.019343,34.739242
וניליה,גלידרייה,צפון,גן שמואל,"מבנה, פארק מסחרי גן שמואל",04-6968070,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 10:30-21:00
שישי: 10:00-15:30
שבת: 10:30-21:00",,Y,www.vaniglia.co.il,N,N,32.448870,34.951610
וניליה,גלידרייה,מרכז,תל אביב - יפו,"אהרון בקר 8 ת""א",03-6035000,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 10:30-21:30
שישי: 10:30-21:30
שבת: 10:30-21:30",,Y,www.vaniglia.co.il,N,N,32.432500,34.924410
מיכליס,בית קפה מסעדה וקונדיטוריה עם סוגי עוגות ומאפים,ירושלים,מודיעין-מכבים-רעות,מרכז לב רעות,,בית קפה,"איטלקי,בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-22:00
שישי: 08:00-14:00
שבת: סגור","בדץ חתם סופר פ""ת ומהדרין מודיעין",Y,,N,N,31.887323,35.617960
קדמה קפה,"רכישת קפה, מכונות וקפסולות",צפון,רמת ישי,האורן 5,072-2171111,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,,N,Y,32.705930,35.170040
קדמה קפה,,מרכז,תל אביב - יפו,התעשייה 8,072-2171111,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,,N,Y,32.067360,34.786020
אלטה,מסעדת שף ,צפון,כנרת (מושבה),"חוף שלדג, צומת מושבת כנרת",04-8870040,מסעדה,דגים,"א-ה: 12:00-16:00
שישי: 12:00-16:00
שבת: 13:00-22:00",,Y,,N,N,32.721920,35.569500
ארטיקים TLV,"מארזי ארטיקים, גלישות ושלגונים",מרכז,תל אביב - יפו,חנות אינטרנטית,054-5521004,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",,N,greeninvoice.shop/artikimtlv,Y,Y,32.067650,34.763810
ביגה,בית קפה מסעדה חלבית,דרום,אשדוד,"ז'בוטינסקי 47, סטאר",08-8566868,בית קפה,בית קפה,"א-ה: 08:00-23:00
שישי: 08:00-15:00
שבת: 19:00-23:00",כשר למהדרין,Y,biga-bakery.co.il,N,N,31.809740,34.654630
קפה גרג,בית קפה מסעדה,אילת,אילת,"ביג אילת, הסתת 20",08-8602142,בית קפה,"איטלקי,בית קפה,כריכים-סלטים,מתוקים-קינוחים","א-ה: 09:00-21:30
שישי: 08:30-14:30
שבת: חצי שעה מצאת שבת-22:30",כשר,Y,,N,N,29.565550,34.960050
בית הפנקייק המקורי,"פנקייקים, טוסטים, המבורגרים ועוד ",מרכז,פתח תקווה,"אבשלום גיסין 17, קניון גיסין",,מסעדה,"בית קפה,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-00:00
שישי: 09:00-00:00
שבת: 09:00-00:00",,Y,www.pancake.co.il,N,N,32.098160,34.881440
קפה גרג,"בית קפה, איטלקי, חלבי, קינוחים ",צפון,קריית שמונה,"טשרניחובסקי 8, קניון 8",04-8713710,בית קפה,"בית קפה,חלבי,ים תיכוני,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-21:00
שישי: 8:00-14:00
שבת: ",כשר למהדרין,Y,,N,N,33.210770,35.567990
AMOR,עולם של קוקטיילים,מרכז,פתח תקווה,החרש 6,058-6472232,יקבים ומבשלות בירה,בר-פאב,"א-ה: 
שישי: 
שבת: ",,N,www.amorcocktail.com,Y,N,32.094790,34.852530
פאזל בורגר,בורגרים,מרכז,פתח תקווה,ברקת 9,,מסעדה,בשרים,"א-ה: 12:00-00:00
שישי: סגור
שבת: חצי שעה מצאת שבת-00:00","בד""צ בית יוסף",Y,puzzle-burger.co.il/,N,N,32.089500,34.858610
נג'מה,,צפון,חיפה,עליה שניה 96,04-6161606,מסעדה,ים תיכוני,"א-ה: 12:00-00:00
שישי: 12:00-00:00
שבת: 12:00-00:00",,Y,www.najma.co.il,N,Y,32.831630,34.970440
קפה גרג,בית קפה מסעדה,צפון,טירה,מתחם SEVEN דרך יפו 7,09-8858613,בית קפה,"איטלקי,כריכים-סלטים","א-ה: 08:00-22:00
שישי: 08:00-22:00
שבת: 08:00-22:00",,Y,,N,N,32.200990,34.945120
טרואר,חנות ובר יין,צפון,חיפה,הנמל 35,077-3503585,מסעדה,בר-פאב,"א-ה: 12:00-23:00
שישי: 10:00-16:00
שבת: 17:00-23:00",,Y,,N,Y,32.819280,35.000280
קפטן הוק,מסעדת דגים,מרכז,תל אביב - יפו,עמיעד 13,03-6445440,מסעדה,דגים,"א-ה: 11:00-00:00
שישי: 11:00-00:00
שבת: 11:00-00:00",,Y,captainhook.co.il,N,Y,32.053530,34.756190
באשר פרומז'רי,מעדניה,ירושלים,ירושלים,עמק רפאים 52 המושבה הגרמנית,0544403928,מעדניה,חלבי,"א-ה: 09:00-21:00
שישי: 07:30-16:00
שבת: ",חלב ישראל מהדרין,N,,N,Y,31.762270,35.217460
קפה קפה,בית קפה בשרי,דרום,רהט,היכל פיס לתרבות רהט,08-9163333,בית קפה,"איטלקי,בית קפה,בשרים,כריכים-סלטים","א-ה: 07:00-23:00
שישי: 07:00-23:00
שבת: 07:00-23:00",,Y,,N,Y,31.380780,34.762590
פרש קיטשן,מסעדת בריאות,מרכז,רמת גן,"קניון איילון, אבא הלל סילבר 131",03-5054025,מסעדה,"איטלקי,סושי-אסייאתי","א-ה: 09:00-22:22:30
שישי: 09:00-23:00
שבת: 09:00-23:00",,Y,,N,Y,32.100610,34.826550
פרד דיינר,דיינר,מרכז,ראש העין,העבודה 11,03-9149191,מסעדה,בשרים,"א-ה: 11:00-23:00
שישי: סגור
שבת: חצי שעה מצאת שבת-23:30","בד""צ בית יוסף",Y,,N,Y,32.106650,34.941140
וופל בר,וופל בלגי וקינוחים,מרכז,ראש העין,העבודה 14,055-5557538,"גלידריה, מתוקים וקינוחים","בית קפה,דגים,כריכים-סלטים,מתוקים-קינוחים","א-ה: 11:00-20:00
שישי: סגור
שבת: חצי שעה מצאת שבת-23:30","בד""צ בית יוסף",Y,,N,Y,32.106650,34.941140
הסושייה,אסייתי,צפון,עכו,החרושת 2,04-6611472,מסעדה,סושי-אסייאתי,"א-ה: 12:00-23:00
שישי: 12:00-עד שעה לפני שבת
שבת: שעה אחרי צאת שבת-23:00",,Y,,N,Y,32.923160,35.081290
פריסטייל,מסעדת פריסטייל,דרום,אשדוד,שד תל חי 63,052-7078893,מסעדה,"בשרים,כריכים-סלטים","א-ה: 12:00-21:00
שישי: סגור
שבת: סגור",,Y,,Y,Y,31.857850,34.836850
מינה טומיי,אסייאתי,צפון,עין שמר,מתחם אלונית פאשן,2750*,מסעדה,סושי-אסייאתי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,,N,Y,32.465850,34.991820
קפה גרג,בית קפה,מרכז,בני ברק,מצדה 7,054-9377766,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-22:00
שישי: 09:00-15:00
שבת: שעה מצאת השבת-23:00",כשר,Y,,N,Y,32.093860,34.824590
אלפי,"מסעדת בשרים, המבורגרים, קינוחים ",מרכז,תל אביב - יפו,פרישמן 22,054-7112838,מסעדה,"בשרים,מתוקים-קינוחים","א-ה: שני עד חמישי: 18:00- 1:00
שישי: 13:00 - 1:00
שבת: 13:00 - 1:00",,Y,,N,Y,32.079770,34.770630
טרומפלדור 20,"מסעדת מזון מהיר , בשרים , המבורגר , אוכל ים תיכוני",צפון,קריית שמונה,טרומפלדור 20,04-6371051,מסעדה,"בשרים,ים תיכוני","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,,N,Y,33.208310,35.572310
פיקולו ,מסעדת בשרים,אילת,אילת,"מרכז התיירות החדש, אילת",08-9519539,מסעדה,בשרים,"א-ה: 13:00-1:00
שישי: סגור
שבת: מצאת השבת - 13:00",כן,N,,N,Y,29.551170,34.952400
ביירן מרקט ,bayern-market.com/,שרון,נתניה,המחקר 3,052-8877544,מסעדה,"בשרים,צמחוני-טבעוני","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,bayern-market.com/,N,Y,32.289340,34.860500
Mixta Cocktails,מארזי קוקטיילים במשלוח,שרון,רעננה,"המסגר 4 רעננה, קומה 1",073-7770002,יקבים ומבשלות בירה,"בר-פאב,מתוקים-קינוחים","א-ה: 
שישי: 
שבת: ",,N,https://www.mixtacocktails.com/,Y,Y,32.195730,34.882160
JAPAN JAPAN,מסעדה אסייאתית,מרכז,פתח תקווה,העצמאות 63,3304*,מסעדה,סושי-אסייאתי,"א-ה: 11:00-23:00
שישי: 11:00-15:00
שבת: שעה מצאת שבת-00:00",כשר,Y,www.japan-japan.co.il,N,N,32.074900,34.870970
הני הני,פרייד צ'יקן,צפון,מסעדה,"כפר מסעדה, רמת הגולן",058-6610777,מסעדה,בשרים,"א-ה: 11:00-23:00
שישי: 11:00-23:00
שבת: 11:00-23:00",,N,,N,Y,33.236540,35.757110
אחוקי-טוסט נקניק,טוסט נקניק,צפון,מעלות-תרשיחא,בן גוריון 1,04-6444522,מסעדה,בשרים,"א-ה: 12:00-22:00
שישי: סגור
שבת: 21:00-23:00",כשר,Y,,N,Y,33.012080,35.284860
קפה מנדרין,בית קפה על החוף,צפון,חיפה,דוד אלעזר 10 חוף מרידיאן,073-7537150,בית קפה,בית קפה,"א-ה: 08:30-24:00
שישי: 08:30-24:00
שבת: 08:30-24:00",,Y,,N,Y,32.805550,34.956760
שוקולוקו,שוקולד בעבודת יד,מרכז,תל אביב - יפו,חנות אינטרנטית,,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",,N,chocoloco.co.il,Y,Y,32.080220,34.772870
קפה מנדרין,בית קפה,צפון,חיפה,קניון עזריאלי משה פלימן 4,073-7540200,בית קפה,חלבי,"א-ה: 09:00-21:00
שישי: 09:00-15:00
שבת: שעה מצאת שבת - 23:00",כשר,Y,,N,Y,32.789870,34.965680
קפה גרג,בית קפה,שרון,כפר סבא,עתיר ידע 3,09-7888611,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-21:00
שישי: 09:00-14:00
שבת: סגור",כשר,Y,,N,Y,32.165620,34.928590
בירבזאר,מבשלת בירה קראפט ישראלית,מרכז,תל אביב - יפו,חנות אינטרנטית,,מארזים במשלוח,בר-פאב,"א-ה: 
שישי: 
שבת: ",,N,beerbazaar.co.il,Y,Y,32.085890,34.782830
איטליאנו דלי קפה,"ארוחות בוקר, בראנצ' ותפריט איטלקי",צפון,חיפה,"מרכז פנורמה, שד הנשיא 109",04-6601011,מסעדה,"איטלקי,דגים,ים תיכוני,צמחוני-טבעוני","א-ה: 09:30-23:00
שישי: 09:30-23:00
שבת: 09:30-23:00",,Y,,Y,Y,32.806410,34.987400
קפה גרג,בית קה מסעדה,צפון,כרמיאל,"מעלה כמון 5, קניון חוצות",04-8578475,בית קפה,"איטלקי,בית קפה,בשרים,מתוקים-קינוחים","א-ה: 09:00-21:00
שישי: 8:00-16:00
שבת: סגור",,Y,,N,Y,32.928170,35.326130
MESSA,מסעדת שף,מרכז,תל אביב - יפו,הארבעה 19,03-6856859,מסעדת שף,"איטלקי,בשרים,דגים,ים תיכוני,צרפתי","א-ה: 19:00-23:00
שישי: 10:00-23:00
שבת: 19:00-23:00",,Y,,N,Y,32.070690,34.786790
CREATIVE PEA,אתר אונליין - טבועני ותחליפי בשר,מרכז,אופקים,חנות אינטרנטית,08-8503540,מארזים במשלוח,צמחוני-טבעוני,"א-ה: 
שישי: 
שבת: ",,N,creatpea.com,Y,Y,31.319300,34.621810
פיצה סנטרל,פיצריה,מרכז,חולון,הרוקמים 26,03-6009666,מסעדה,איטלקי,"א-ה: 11:00-23:00
שישי: 11:00-15:30
שבת: 20:30-23:00",כשר,Y,,N,Y,32.007830,34.801080
פרוטאין בר,תוספי תזונה לספורט ,מרכז,פתח תקווה,הסיבים 10 חנות אינטרנטית,054-7365353,מארזים במשלוח,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",,N,protein-bar.co.il,Y,Y,32.089820,34.856830
אמירי,ביסטרו כשר,שרון,חדרה,צבי נחל 2 עמק חפר,04-6551050,בר-פאב,"בשרים,דגים,ים תיכוני,כריכים-סלטים,מתוקים-קינוחים","א-ה: 12:00-22:00
שישי: 
שבת: ",כשר,Y,,N,Y,32.405040,34.896850
איז'ו ובבט,פאב מסעדה,מרכז,תל אביב - יפו,דיזינגוף 141,054-7057050,מסעדה,"בר-פאב,בשרים,טאפסים,כריכים-סלטים","א-ה: 17:30-02:00
שישי: 12:00-03:00
שבת: 14:00-02:00",,N,,N,Y,32.082780,34.773670
אווזי,"בשרים, שיפודים, סלטים",מרכז,תל אביב - יפו,אצל 54,03-6879918,מסעדה,בשרים,"א-ה: 12:00-23:00
שישי: 12:00-14:30
שבת: ",כשר,Y,,N,Y,32.050120,34.792080
גסנוב פלוס,מסעדת שף,צפון,קריית ביאליק,דרך עכו 192,04-8384555,מסעדה,"בשרים,דגים","א-ה: 12:00-22:00
שישי: 12:00-22:00
שבת: 12:00-22:00",,N,,N,Y,32.845560,35.091940
